arch,run_idx,seed,hazard_cost,num_steps,query_type,statement_text,source_type,source_key,source_resolves
v1_7,0,202358875,0.1,320000,what_learned,"I mastered the attractor at att_free_1 at step 520, confirmed by 0 confirming observations.",provenance,mastery:att_free_1,True
v1_7,0,202358875,0.1,320000,what_learned,"I banked knowledge at haz_unaff_2 at step 526, confirmed by 0 confirming observations.",provenance,knowledge_banking:haz_unaff_2,True
v1_7,0,202358875,0.1,320000,what_learned,"I mastered the attractor at att_free_3 at step 530, confirmed by 41 confirming observations.",provenance,mastery:att_free_3,True
v1_7,0,202358875,0.1,320000,what_learned,"I mastered the attractor at att_free_2 at step 614, confirmed by 12 confirming observations.",provenance,mastery:att_free_2,True
v1_7,0,202358875,0.1,320000,what_learned,"I mastered the attractor at att_green at step 633, confirmed by 18 confirming observations.",provenance,mastery:att_green,True
v1_7,0,202358875,0.1,320000,what_learned,"I banked knowledge at haz_unaff_0 at step 38617, confirmed by 9 confirming observations.",provenance,knowledge_banking:haz_unaff_0,True
v1_7,0,202358875,0.1,320000,what_learned,"I banked knowledge at haz_unaff_1 at step 38622, confirmed by 18 confirming observations.",provenance,knowledge_banking:haz_unaff_1,True
v1_7,0,202358875,0.1,320000,what_learned,"I banked knowledge at haz_green at step 38667, confirmed by 1 confirming observation.",provenance,knowledge_banking:haz_green,True
v1_7,0,202358875,0.1,320000,how_related,I first perceived the GREEN colour cell at step 56. This was my first encounter with the GREEN family.,family,green_cell_registered,True
v1_7,0,202358875,0.1,320000,how_related,I mastered the GREEN attractor (SQUARE_2D) at step 633. This completed the acquirable tier of the GREEN family.,family,green_attractor_mastered,True
v1_7,0,202358875,0.1,320000,how_related,I banked the GREEN knowledge cell (SPHERE_3D) at step 38667. This completed the bankable tier of the GREEN family. The cross-reference to the GREEN attractor is complete.,family,green_knowledge_banked,True
v1_7,0,202358875,0.1,320000,how_related,I first perceived the YELLOW colour cell at step 6. This was my first encounter with the YELLOW family.,family,yellow_cell_registered,True
v1_7,0,202358875,0.1,320000,how_related,I did not master the YELLOW attractor within this run.,family,yellow_attractor_mastered,True
v1_7,0,202358875,0.1,320000,how_related,I did not bank the YELLOW knowledge cell within this run.,family,yellow_knowledge_banked,True
v1_7,0,202358875,0.1,320000,how_related,"My family traversal narrative contains 4 events across both families, in this order: 6:colour_registered:YELLOW|56:colour_registered:GREEN|633:attractor_mastered:GREEN|38667:knowledge_banked:GREEN.",family,family_traversal_narrative,True
v1_7,0,202358875,0.1,320000,how_related,Cross-family comparison is incomplete: at least one family traversal was not finished within this run. Structural comparison measures are not fully available.,comparison,both_complete,True
v1_7,0,202358875,0.1,320000,where_surprised,I entered haz_green (GREEN family) at step 633 with the precondition already met. No prediction error was recorded: the transformation followed without surprise.,prediction_error,encounter:0,True
v1_7,0,202358875,0.1,320000,where_surprised,I entered haz_unaff_0 (unaffiliated cell) at step 530 with the precondition already met. No prediction error was recorded: the transformation followed without surprise.,prediction_error,encounter:1,True
v1_7,0,202358875,0.1,320000,where_surprised,I entered haz_unaff_1 (unaffiliated cell) at step 614 with the precondition already met. No prediction error was recorded: the transformation followed without surprise.,prediction_error,encounter:2,True
v1_7,0,202358875,0.1,320000,where_surprised,I entered haz_unaff_2 (unaffiliated cell) at step 520 with the precondition already met. No prediction error was recorded: the transformation followed without surprise.,prediction_error,encounter:3,True
v1_7,0,202358875,0.1,320000,where_surprised,"I encountered haz_yellow (YELLOW family) at step 493 before my precondition was met. I paid the cost and did not receive the transformation. The transformation did not fire within this run. This approach was not resolved: I found something I could not yet use, and the run ended before I became ready.",prediction_error,encounter:4,True
v1_7,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at att_free_1 at step 519, confirmed by 0 confirming observations.",provenance,mastery:att_free_1,True
v1_7,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at att_yellow at step 524, confirmed by 0 confirming observations.",provenance,mastery:att_yellow,True
v1_7,1,1869897005,0.1,320000,what_learned,"I banked knowledge at haz_yellow at step 651, confirmed by 0 confirming observations.",provenance,knowledge_banking:haz_yellow,True
v1_7,1,1869897005,0.1,320000,what_learned,"I banked knowledge at haz_unaff_2 at step 39778, confirmed by 0 confirming observations.",provenance,knowledge_banking:haz_unaff_2,True
v1_7,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at att_free_3 at step 39784, confirmed by 3 confirming observations.",provenance,mastery:att_free_3,True
v1_7,1,1869897005,0.1,320000,what_learned,"I flagged haz_green as a threat at step 39849, supported by 1 confirming observation.",provenance,threat:haz_green,True
v1_7,1,1869897005,0.1,320000,what_learned,"I banked knowledge at haz_unaff_1 at step 39871, confirmed by 0 confirming observations.",provenance,knowledge_banking:haz_unaff_1,True
v1_7,1,1869897005,0.1,320000,what_learned,"I banked knowledge at haz_unaff_0 at step 39875, confirmed by 12 confirming observations.",provenance,knowledge_banking:haz_unaff_0,True
v1_7,1,1869897005,0.1,320000,what_learned,"I mastered the attractor at att_free_2 at step 119582, confirmed by 3 confirming observations.",provenance,mastery:att_free_2,True
v1_7,1,1869897005,0.1,320000,how_related,I first perceived the GREEN colour cell at step 56. This was my first encounter with the GREEN family.,family,green_cell_registered,True
v1_7,1,1869897005,0.1,320000,how_related,I did not master the GREEN attractor within this run.,family,green_attractor_mastered,True
v1_7,1,1869897005,0.1,320000,how_related,I did not bank the GREEN knowledge cell within this run.,family,green_knowledge_banked,True
v1_7,1,1869897005,0.1,320000,how_related,I first perceived the YELLOW colour cell at step 6. This was my first encounter with the YELLOW family.,family,yellow_cell_registered,True
v1_7,1,1869897005,0.1,320000,how_related,I mastered the YELLOW attractor (TRIANGLE_2D) at step 524. This completed the acquirable tier of the YELLOW family.,family,yellow_attractor_mastered,True
v1_7,1,1869897005,0.1,320000,how_related,I banked the YELLOW knowledge cell (PYRAMID_3D) at step 651. This completed the bankable tier of the YELLOW family. The cross-reference to the YELLOW attractor is complete.,family,yellow_knowledge_banked,True
v1_7,1,1869897005,0.1,320000,how_related,"My family traversal narrative contains 4 events across both families, in this order: 6:colour_registered:YELLOW|56:colour_registered:GREEN|524:attractor_mastered:YELLOW|651:knowledge_banked:YELLOW.",family,family_traversal_narrative,True
v1_7,1,1869897005,0.1,320000,how_related,Cross-family comparison is incomplete: at least one family traversal was not finished within this run. Structural comparison measures are not fully available.,comparison,both_complete,True
v1_7,1,1869897005,0.1,320000,where_surprised,"I encountered haz_green (GREEN family) at step 39843 before my precondition was met. I paid the cost and did not receive the transformation. The transformation did not fire within this run. This approach was not resolved: I found something I could not yet use, and the run ended before I became ready.",prediction_error,encounter:0,True
v1_7,1,1869897005,0.1,320000,where_surprised,"I encountered haz_green (GREEN family) at step 39846 before my precondition was met. I paid the cost and did not receive the transformation. The transformation did not fire within this run. This approach was not resolved: I found something I could not yet use, and the run ended before I became ready.",prediction_error,encounter:1,True
v1_7,1,1869897005,0.1,320000,where_surprised,"I encountered haz_green (GREEN family) at step 39849 before my precondition was met. I paid the cost and did not receive the transformation. The transformation did not fire within this run. This approach was not resolved: I found something I could not yet use, and the run ended before I became ready.",prediction_error,encounter:2,True
